Origin,Dest,Airline,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalDelays
ABE,ATL,Atlantic Southeast Airlines,3009,811,1204,20,764,5808
ABE,CLT,US Airways Inc.,271,94,63,0,0,428
ABE,CVG,Atlantic Southeast Airlines,25,70,15,0,0,110
ABE,ORD,Skywest Airlines Inc.,232,464,4161,0,1053,5910
ABI,DFW,American Eagle Airlines Inc.,8563,2464,2734,0,2080,15841
ABQ,AMA,Southwest Airlines Co.,473,199,39,0,1967,2678
ABQ,ATL,Delta Air Lines Inc.,1282,237,540,0,759,2818
ABQ,BWI,Southwest Airlines Co.,193,166,678,0,158,1195
ABQ,CVG,Delta Air Lines Inc.,98,3,50,0,392,543
ABQ,DAL,Southwest Airlines Co.,2535,804,1073,0,7331,11743
ABQ,DEN,Frontier Airlines Inc.,705,13,503,0,602,1823
ABQ,DEN,Skywest Airlines Inc.,337,106,183,0,1804,2430
ABQ,DEN,Southwest Airlines Co.,337,0,126,0,1864,2327
ABQ,DEN,United Air Lines Inc.,671,17,595,0,5182,6465
ABQ,DFW,American Airlines Inc.,4159,1086,1922,0,7297,14464
ABQ,ELP,Southwest Airlines Co.,788,0,190,0,3193,4171
ABQ,HOU,Southwest Airlines Co.,893,271,234,0,3642,5040
ABQ,IAD,United Air Lines Inc.,984,23,59,0,130,1196
ABQ,LAS,Southwest Airlines Co.,1902,192,2372,0,7804,12270
ABQ,LAX,Skywest Airlines Inc.,542,272,691,25,4538,6068
ABQ,LAX,Southwest Airlines Co.,1371,0,828,2,7012,9213
ABQ,LBB,Southwest Airlines Co.,257,16,39,0,920,1232
ABQ,MAF,Southwest Airlines Co.,412,0,44,0,2235,2691
ABQ,MCI,Southwest Airlines Co.,601,385,61,0,1653,2700
ABQ,MCO,Southwest Airlines Co.,454,0,154,0,571,1179
ABQ,MDW,Southwest Airlines Co.,181,199,450,0,755,1585
ABQ,OAK,Southwest Airlines Co.,1164,25,442,0,3648,5279
ABQ,ORD,American Airlines Inc.,1420,0,1826,0,389,3635
ABQ,ORD,Skywest Airlines Inc.,62,0,1645,0,232,1939
ABQ,PDX,Southwest Airlines Co.,525,33,429,0,2551,3538
ABQ,PHX,Southwest Airlines Co.,2859,116,2732,0,13986,19693
ABQ,PHX,US Airways Inc.,1072,7,454,0,652,2185
ABQ,SAN,Southwest Airlines Co.,770,58,554,0,3440,4822
ABQ,SEA,Southwest Airlines Co.,475,0,481,0,3769,4725
ABQ,SFO,Skywest Airlines Inc.,474,30,1043,0,941,2488
ABQ,SLC,Skywest Airlines Inc.,177,71,77,0,1518,1843
ABQ,SLC,Southwest Airlines Co.,438,161,113,0,2911,3623
ABQ,STL,Southwest Airlines Co.,57,0,6,0,199,262
ABQ,TPA,Southwest Airlines Co.,347,0,49,0,476,872
ABQ,TUS,Southwest Airlines Co.,693,0,255,0,4437,5385
ABY,ATL,Atlantic Southeast Airlines,3861,694,1885,0,402,6842
ACT,DFW,American Eagle Airlines Inc.,1574,1229,1281,0,4418,8502
ACV,CEC,Skywest Airlines Inc.,264,540,85,0,305,1194
ACV,SFO,Skywest Airlines Inc.,4198,319,19935,7,5581,30040
ACV,SLC,Skywest Airlines Inc.,178,0,52,0,50,280
ACV,SMF,Skywest Airlines Inc.,383,53,165,0,2264,2865
ACY,ATL,Atlantic Southeast Airlines,1063,0,812,0,0,1875
ADK,ANC,Alaska Airlines Inc.,112,0,0,0,241,353
ADQ,ANC,Alaska Airlines Inc.,330,66,125,32,1844,2397
AEX,ATL,Atlantic Southeast Airlines,4165,1294,1803,21,272,7555
AEX,DFW,American Eagle Airlines Inc.,2212,2344,848,0,2484,7888
AGS,ATL,Atlantic Southeast Airlines,5854,2917,4024,40,436,13271
AKN,DLG,Alaska Airlines Inc.,120,0,14,0,301,435
ALB,ATL,Atlantic Southeast Airlines,4164,1577,1958,11,1223,8933
ALB,BWI,Southwest Airlines Co.,1084,728,1555,19,7445,10831
ALB,CLT,US Airways Inc.,501,58,269,6,713,1547
ALB,CVG,Atlantic Southeast Airlines,0,15,0,0,0,15
ALB,DCA,US Airways Inc.,152,0,34,0,0,186
ALB,LAS,Southwest Airlines Co.,223,150,336,0,661,1370
ALB,MCO,Southwest Airlines Co.,1161,180,1087,0,2246,4674
ALB,MDW,Southwest Airlines Co.,375,624,791,0,900,2690
ALB,ORD,American Eagle Airlines Inc.,1221,184,3092,0,3552,8049
ALB,ORD,United Air Lines Inc.,1364,512,2665,0,3704,8245
ALB,PHL,US Airways Inc.,122,27,280,0,0,429
ALB,TPA,Southwest Airlines Co.,424,107,211,0,193,935
AMA,ABQ,Southwest Airlines Co.,238,338,32,18,0,626
AMA,DAL,Southwest Airlines Co.,1577,1055,746,0,7697,11075
AMA,DEN,Southwest Airlines Co.,153,80,68,0,2850,3151
AMA,DFW,American Eagle Airlines Inc.,2504,2753,1813,7,10418,17495
AMA,LAS,Southwest Airlines Co.,88,0,602,0,1339,2029
ANC,ADK,Alaska Airlines Inc.,100,48,105,0,204,457
ANC,ADQ,Alaska Airlines Inc.,890,435,186,0,489,2000
ANC,AKN,Alaska Airlines Inc.,105,0,2,0,231,338
ANC,ATL,Delta Air Lines Inc.,8,0,14,0,405,427
ANC,BET,Alaska Airlines Inc.,1606,565,366,0,788,3325
ANC,CDV,Alaska Airlines Inc.,1029,117,88,0,1499,2733
ANC,CVG,Delta Air Lines Inc.,89,0,31,0,167,287
ANC,DEN,Frontier Airlines Inc.,152,0,158,0,379,689
ANC,DEN,United Air Lines Inc.,132,9,67,0,280,488
ANC,DFW,American Airlines Inc.,501,0,123,0,606,1230
ANC,FAI,Alaska Airlines Inc.,4273,595,763,0,3433,9064
ANC,HNL,Alaska Airlines Inc.,630,0,124,0,138,892
ANC,JNU,Alaska Airlines Inc.,1599,300,259,0,1505,3663
ANC,LAS,US Airways Inc.,795,0,75,0,523,1393
ANC,LAX,Alaska Airlines Inc.,152,0,43,0,30,225
ANC,LAX,Delta Air Lines Inc.,0,0,17,0,53,70
ANC,OME,Alaska Airlines Inc.,904,227,73,0,180,1384
ANC,ORD,Alaska Airlines Inc.,342,0,68,0,125,535
ANC,ORD,United Air Lines Inc.,165,0,78,0,438,681
ANC,OTZ,Alaska Airlines Inc.,689,133,108,0,404,1334
ANC,PDX,Alaska Airlines Inc.,285,0,32,0,448,765
ANC,PHX,US Airways Inc.,517,0,91,0,537,1145
ANC,SCC,Alaska Airlines Inc.,783,162,50,0,316,1311
ANC,SEA,Alaska Airlines Inc.,5274,537,1158,9,4454,11432
ANC,SFO,United Air Lines Inc.,105,0,15,0,341,461
ANC,SLC,Delta Air Lines Inc.,156,0,59,0,196,411
ASE,ATL,Skywest Airlines Inc.,0,0,85,0,0,85
ASE,DEN,Skywest Airlines Inc.,3951,8264,1187,356,8874,22632
ASE,LAX,Skywest Airlines Inc.,1005,667,180,90,1903,3845
ASE,ORD,Skywest Airlines Inc.,1415,1099,8408,77,1672,12671
ASE,SFO,Skywest Airlines Inc.,270,0,857,0,426,1553
ASE,SLC,Skywest Airlines Inc.,1016,1813,478,188,2299,5794
ATL,ABE,Atlantic Southeast Airlines,3507,1502,958,0,165,6132
ATL,ABQ,Delta Air Lines Inc.,1866,266,745,0,1707,4584
ATL,ABY,Atlantic Southeast Airlines,4221,870,1664,18,499,7272
ATL,ACY,Atlantic Southeast Airlines,877,178,380,0,73,1508
ATL,AEX,Atlantic Southeast Airlines,3209,1584,1206,0,581,6580
ATL,AGS,Atlantic Southeast Airlines,9440,3289,1661,32,697,15119
