Route,Airline,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalDelays
Abilene Regional Airport - Dallas/Fort Worth International Airport,American Eagle Airlines Inc.,8563,2464,2734,0,2080,15841
Abraham Lincoln Capital Airport - Chicago O'Hare International Airport,Skywest Airlines Inc.,352,212,4582,0,964,6110
Adak Airport - Ted Stevens Anchorage International Airport,Alaska Airlines Inc.,112,0,0,0,241,353
Akron-Canton Regional Airport - Chicago O'Hare International Airport,Skywest Airlines Inc.,149,0,3420,0,1254,4823
Akron-Canton Regional Airport - Cincinnati/Northern Kentucky International Airport,Atlantic Southeast Airlines,0,16,0,0,0,16
Akron-Canton Regional Airport - Denver International Airport,Frontier Airlines Inc.,1131,71,662,0,985,2849
Akron-Canton Regional Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,7499,3742,3348,72,3160,17821
Albany International Airport - Baltimore-Washington International Airport,Southwest Airlines Co.,1084,728,1555,19,7445,10831
Albany International Airport - Charlotte Douglas International Airport,US Airways Inc.,501,58,269,6,713,1547
Albany International Airport - Chicago Midway International Airport,Southwest Airlines Co.,375,624,791,0,900,2690
Albany International Airport - Chicago O'Hare International Airport,American Eagle Airlines Inc.,1221,184,3092,0,3552,8049
Albany International Airport - Chicago O'Hare International Airport,United Air Lines Inc.,1364,512,2665,0,3704,8245
Albany International Airport - Cincinnati/Northern Kentucky International Airport,Atlantic Southeast Airlines,0,15,0,0,0,15
Albany International Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,4164,1577,1958,11,1223,8933
Albany International Airport - McCarran International Airport,Southwest Airlines Co.,223,150,336,0,661,1370
Albany International Airport - Orlando International Airport,Southwest Airlines Co.,1161,180,1087,0,2246,4674
Albany International Airport - Philadelphia International Airport,US Airways Inc.,122,27,280,0,0,429
Albany International Airport - Ronald Reagan Washington National Airport,US Airways Inc.,152,0,34,0,0,186
Albany International Airport - Tampa International Airport,Southwest Airlines Co.,424,107,211,0,193,935
Albert J. Ellis Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,3102,1461,1396,0,712,6671
Albuquerque International Sunport - Baltimore-Washington International Airport,Southwest Airlines Co.,193,166,678,0,158,1195
Albuquerque International Sunport - Chicago Midway International Airport,Southwest Airlines Co.,181,199,450,0,755,1585
Albuquerque International Sunport - Chicago O'Hare International Airport,American Airlines Inc.,1420,0,1826,0,389,3635
Albuquerque International Sunport - Chicago O'Hare International Airport,Skywest Airlines Inc.,62,0,1645,0,232,1939
Albuquerque International Sunport - Cincinnati/Northern Kentucky International Airport,Delta Air Lines Inc.,98,3,50,0,392,543
Albuquerque International Sunport - Dallas Love Field,Southwest Airlines Co.,2535,804,1073,0,7331,11743
Albuquerque International Sunport - Dallas/Fort Worth International Airport,American Airlines Inc.,4159,1086,1922,0,7297,14464
Albuquerque International Sunport - Denver International Airport,Frontier Airlines Inc.,705,13,503,0,602,1823
Albuquerque International Sunport - Denver International Airport,Skywest Airlines Inc.,337,106,183,0,1804,2430
Albuquerque International Sunport - Denver International Airport,Southwest Airlines Co.,337,0,126,0,1864,2327
Albuquerque International Sunport - Denver International Airport,United Air Lines Inc.,671,17,595,0,5182,6465
Albuquerque International Sunport - El Paso International Airport,Southwest Airlines Co.,788,0,190,0,3193,4171
Albuquerque International Sunport - Hartsfield-Jackson Atlanta International Airport,Delta Air Lines Inc.,1282,237,540,0,759,2818
Albuquerque International Sunport - Kansas City International Airport,Southwest Airlines Co.,601,385,61,0,1653,2700
Albuquerque International Sunport - Los Angeles International Airport,Skywest Airlines Inc.,542,272,691,25,4538,6068
Albuquerque International Sunport - Los Angeles International Airport,Southwest Airlines Co.,1371,0,828,2,7012,9213
Albuquerque International Sunport - Lubbock Preston Smith International Airport,Southwest Airlines Co.,257,16,39,0,920,1232
Albuquerque International Sunport - McCarran International Airport,Southwest Airlines Co.,1902,192,2372,0,7804,12270
Albuquerque International Sunport - Midland International Airport,Southwest Airlines Co.,412,0,44,0,2235,2691
Albuquerque International Sunport - Oakland International Airport,Southwest Airlines Co.,1164,25,442,0,3648,5279
Albuquerque International Sunport - Orlando International Airport,Southwest Airlines Co.,454,0,154,0,571,1179
Albuquerque International Sunport - Phoenix Sky Harbor International Airport,Southwest Airlines Co.,2859,116,2732,0,13986,19693
Albuquerque International Sunport - Phoenix Sky Harbor International Airport,US Airways Inc.,1072,7,454,0,652,2185
Albuquerque International Sunport - Portland International Airport,Southwest Airlines Co.,525,33,429,0,2551,3538
Albuquerque International Sunport - Rick Husband Amarillo International Airport,Southwest Airlines Co.,473,199,39,0,1967,2678
Albuquerque International Sunport - Salt Lake City International Airport,Skywest Airlines Inc.,177,71,77,0,1518,1843
Albuquerque International Sunport - Salt Lake City International Airport,Southwest Airlines Co.,438,161,113,0,2911,3623
Albuquerque International Sunport - San Diego International Airport (Lindbergh Field),Southwest Airlines Co.,770,58,554,0,3440,4822
Albuquerque International Sunport - San Francisco International Airport,Skywest Airlines Inc.,474,30,1043,0,941,2488
Albuquerque International Sunport - Seattle-Tacoma International Airport,Southwest Airlines Co.,475,0,481,0,3769,4725
Albuquerque International Sunport - St. Louis International Airport at Lambert Field,Southwest Airlines Co.,57,0,6,0,199,262
Albuquerque International Sunport - Tampa International Airport,Southwest Airlines Co.,347,0,49,0,476,872
Albuquerque International Sunport - Tucson International Airport,Southwest Airlines Co.,693,0,255,0,4437,5385
Albuquerque International Sunport - Washington Dulles International Airport,United Air Lines Inc.,984,23,59,0,130,1196
Albuquerque International Sunport - William P. Hobby Airport,Southwest Airlines Co.,893,271,234,0,3642,5040
Alexandria International Airport - Dallas/Fort Worth International Airport,American Eagle Airlines Inc.,2212,2344,848,0,2484,7888
Alexandria International Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,4165,1294,1803,21,272,7555
Appleton International Airport - Chicago O'Hare International Airport,Skywest Airlines Inc.,421,1121,5498,0,4020,11060
Appleton International Airport - Des Moines International Airport,Skywest Airlines Inc.,0,210,0,0,0,210
Appleton International Airport - General Mitchell International Airport,Skywest Airlines Inc.,1959,656,247,0,426,3288
Appleton International Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,3652,438,1353,0,426,5869
Arcata Airport - Del Norte County Airport (Jack McNamara Field),Skywest Airlines Inc.,264,540,85,0,305,1194
Arcata Airport - Sacramento International Airport,Skywest Airlines Inc.,383,53,165,0,2264,2865
Arcata Airport - Salt Lake City International Airport,Skywest Airlines Inc.,178,0,52,0,50,280
Arcata Airport - San Francisco International Airport,Skywest Airlines Inc.,4198,319,19935,7,5581,30040
Asheville Regional Airport - Cincinnati/Northern Kentucky International Airport,Atlantic Southeast Airlines,0,8,0,0,9,17
Asheville Regional Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,4330,2079,2286,23,326,9044
Asheville Regional Airport - Orlando International Airport,Atlantic Southeast Airlines,238,0,99,0,1,338
Aspen-Pitkin County Airport - Chicago O'Hare International Airport,Skywest Airlines Inc.,1415,1099,8408,77,1672,12671
Aspen-Pitkin County Airport - Denver International Airport,Skywest Airlines Inc.,3951,8264,1187,356,8874,22632
Aspen-Pitkin County Airport - Hartsfield-Jackson Atlanta International Airport,Skywest Airlines Inc.,0,0,85,0,0,85
Aspen-Pitkin County Airport - Los Angeles International Airport,Skywest Airlines Inc.,1005,667,180,90,1903,3845
Aspen-Pitkin County Airport - Salt Lake City International Airport,Skywest Airlines Inc.,1016,1813,478,188,2299,5794
Aspen-Pitkin County Airport - San Francisco International Airport,Skywest Airlines Inc.,270,0,857,0,426,1553
Atlantic City International Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,1063,0,812,0,0,1875
Augusta Regional Airport (Bush Field) - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,5854,2917,4024,40,436,13271
Austin-Bergstrom International Airport - Baltimore-Washington International Airport,Southwest Airlines Co.,364,79,568,0,1316,2327
Austin-Bergstrom International Airport - Chicago Midway International Airport,Southwest Airlines Co.,865,298,318,0,1691,3172
Austin-Bergstrom International Airport - Chicago O'Hare International Airport,American Airlines Inc.,1767,94,9397,0,5591,16849
Austin-Bergstrom International Airport - Chicago O'Hare International Airport,Skywest Airlines Inc.,398,0,5099,0,1133,6630
Austin-Bergstrom International Airport - Dallas Love Field,American Eagle Airlines Inc.,1424,780,1195,0,10000,13399
Austin-Bergstrom International Airport - Dallas Love Field,Southwest Airlines Co.,3283,1776,1863,17,10051,16990
Austin-Bergstrom International Airport - Dallas/Fort Worth International Airport,American Airlines Inc.,2737,2270,4496,14,11079,20596
Austin-Bergstrom International Airport - Denver International Airport,Frontier Airlines Inc.,929,0,770,0,933,2632
Austin-Bergstrom International Airport - Denver International Airport,Skywest Airlines Inc.,49,0,37,0,69,155
Austin-Bergstrom International Airport - Denver International Airport,Southwest Airlines Co.,552,34,281,0,2393,3260
Austin-Bergstrom International Airport - Denver International Airport,United Air Lines Inc.,1448,58,345,0,2247,4098
Austin-Bergstrom International Airport - Des Moines International Airport,Skywest Airlines Inc.,0,100,0,0,0,100
Austin-Bergstrom International Airport - El Paso International Airport,Southwest Airlines Co.,1650,18,212,0,3973,5853
Austin-Bergstrom International Airport - Fort Lauderdale-Hollywood International Airport,JetBlue Airways,141,0,4,0,0,145
Austin-Bergstrom International Airport - Fort Lauderdale-Hollywood International Airport,Southwest Airlines Co.,210,0,0,0,7,217
